GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,DefaultFrm,270,0,12,0,79,0,26,0,20,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,TipoAlmacenFrm,111,0,24,0,26,0,20,0,8,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,TipoProductoFrm,348,0,46,0,94,0,42,0,19,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,TipoProductoCaracteristicaFrm,398,0,46,0,89,0,41,0,18,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,CaracteristicaFrm,397,0,40,0,95,0,36,0,16,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,TipoUnidadMedidaFrm,81,0,10,0,21,0,14,0,9,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,ESTADO_CRUD,21,0,0,0,4,0,1,0,1,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.boundary.servlet,DefaultFrm.new LazyDataModel() {...},72,0,4,0,19,0,7,0,5,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.control,TipoAlmacenDAO,63,0,6,0,18,0,6,0,3,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.control,InventarioDefaultDataAccess,298,0,30,0,87,0,23,0,8,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.control,TipoProductoCaracteristicaDAO,458,0,12,0,95,0,17,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.control,CaracteristicaDAO,277,0,14,0,50,0,15,0,8,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.control,TipoUnidadMedidaDAO,299,0,18,0,53,0,17,0,8,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.control,TipoProductoDAO,7,0,0,0,2,0,2,0,2,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,KardexDetalle,31,0,0,0,13,0,9,0,9,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,CompraDetalle,52,0,0,0,22,0,15,0,15,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Producto,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Kardex,94,0,0,0,40,0,27,0,27,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Venta,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,VentaDetalle,52,0,0,0,22,0,15,0,15,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,TipoAlmacen,31,0,0,0,13,0,9,0,9,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Almacen,31,0,0,0,13,0,9,0,9,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Cliente,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,TipoProducto,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,TipoProductoCaracteristica,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,ProductoTipoProducto,45,0,0,0,19,0,13,0,13,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,ProductoTipoProductoCaracteristica,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Proveedor,45,0,0,0,19,0,13,0,13,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,UnidadMedida,45,0,0,0,19,0,13,0,13,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,TipoUnidadMedida,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Compra,45,0,0,0,19,0,13,0,13,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.core.entity,Caracteristica,38,0,0,0,16,0,11,0,11,0
InventarioWebAppPRN335,sv.edu.ues.occ.ingenieria.prn335.inventario.web.inventarioweb_app,HelloServlet,26,0,0,0,10,0,4,0,4,0
